par value lower upper
s1_dgwt 6.72278025119133 0.615117369982277 17.7747416552839
s23_dgwt -6.6243075925748 -6.6243075925748 -6.6243075925748
b1_dgwt 2.1057340494312 -0.280188968362129 4.49165706722453
b2_dgwt 0.0945783916123813 0.0160940818165481 0.173062701408215
b3_dgwt 6.58954522303026 3.46190663283673 10.8724377068989
s_fwt 1.0572664778175 1.0572664778175 1.0572664778175
s_f0 0.05 0.05 0.26875
b1_fwt 1.01356838368609 1.01356838368609 1.01356838368609
b1_f0 0.1 -0.00625000000000001 0.1
b2_fwt 0.99236232293998 0.99236232293998 0.99236232293998
b2_f0 0.25 0.23125 0.25
b3_fwt 0.984809760614364 0.984809760614364 0.984809760614364
b3_f0 0.425 0.25 0.425
